  70,  59,  56,  66
 100, 100, 100, 100
  68,  90,  96,  94
  79,  92,  85,  75
  64,  66,  72,  50
 100, 100, 100, 100
  81,  92,  86,  97
  95,  88,  88,  79
  78,  74,  75,  74
  75,  80,  92,  75
  87,  76,  77,  63
  90,  90,  99, 100
  68,  68,  67,  75
  66,  66,  69,  71
  71,  69,  73,  80
  98,  81,  98,  97
 100, 100, 100, 100
  91, 100,  94,  92
  89,  87,  73,  68
  89, 100, 100,  94
  21,  27,  26,  25
 100, 100, 100, 100
  36,  53,  32,  31
  97,  74,  72,  85
  86,  85,  81,  79
  75,  71,  63,  72
  88,  94,  87,  84
  62,  68,  72,  60
  62,  68,  62,  70
  92,  88,  86,  70
  57,  64,  69,  64
  55,  77,  51,  73
  58,  74,  80,  71
  97,  91,  79, 100
  69,  58,  72,  69
  38,  54,  35,  19
  31,  23,  34,  37
  94,  85,  71,  63
  64,  90,  71,  73
  55,  51,  50,  48
  97, 100, 100, 100
  87,  83, 100,  85

